session_id,"question_key","answer_value",answer_order
1395954,"location","f8c00b149cb2143e3a8dd8c86d8c258b",19
1395955,"currentSavings","3",23
1395955,"location","70a8694c8aa1099d89a949d5501b5c99",20
1395956,"currentSavings","0",24
1395956,"location","4285d861bc62cba0f06e6a1e95a2f08a",21
1395957,"currentSavings","4",23
1395957,"location","a776d3cf1b33e6e4a43d00a11c2fa783",20
1395958,"currentSavings","4",22
1395958,"location","d3c371e8bcff5911665e1cd569522973",19
1395959,"currentSavings","1",23
1395959,"location","864f422121cb3c8541604cf5f8fe90e7",20
1395960,"currentSavings","3",24
1395960,"location","710bd1066863c5e12c8bba21ac1376c2",21
1395961,"currentSavings","4",24
1395961,"location","03de7a07ac1437954fb6ed41b144e18d",21
1395962,"currentSavings","3",23
1395962,"location","e76837bf2832be441b07c11cecd44826",20
1395963,"currentSavings","3",24
1395963,"location","e4d3515759a3c45d8255bf6dfedb1946",21
1395964,"currentSavings","3",24
1395964,"location","2a5db3d6ce6a75fb53c80498ad253377",21
1395965,"currentSavings","4",23
1395965,"location","39bb9915213302e76fbb345603d3d0bb",20
1395966,"currentSavings","3",23
1395966,"location","88c07f176a2da017f08e08e2484caf99",20
1395967,"currentSavings","5",24
1395967,"location","9bd68fc85788d86a6a74310eda902afe",21
1395968,"currentSavings","0",22
1395968,"location","90513943523077ad07582e989457ccec",19
1395969,"currentSavings","3",24
1395969,"location","dae67a5e2bc89468239ca6b6d3ec8bff",21
1395970,"currentSavings","2",21
1395970,"location","aed2fc21c9b4400120663327497454f3",18
1395971,"currentSavings","0",24
1395971,"location","663cbae89ccfbb0ab05119a672fb1b9e",21
1395972,"currentSavings","2",23
1395972,"location","570ad3934c8f0b03f70f9481e7bd8b13",20
1395973,"currentSavings","3",22
1395973,"location","2faee28b2827354ff598ee5adac691cb",19
1395974,"currentSavings","2",24
1395974,"location","2046a39447683d516e8e02be5bba60d4",21
1395975,"currentSavings","2",24
1395975,"location","7e72bc0d611d40ab70124227dd513085",21
1395976,"currentSavings","3",25
1395976,"location","8caf654d6bf5eb4930c1e76125924e62",22
1395977,"currentSavings","0",23
1395977,"location","e584c0420986d6dcab6bf6016d046596",20
1395978,"currentSavings","3",21
1395978,"location","baa871c3119c1d85f9e73b34c6f10dc3",18
1395979,"currentSavings","2",25
1395979,"location","bd0feb7098b8bf044d4f6eece41e349a",22
1395980,"currentSavings","0",22
1395980,"location","9037fcb0bd6f98f899418e6549f285b0",19
1395981,"currentSavings","3",23
1395981,"location","1866196c5d13d900d7f614232c51a46e",20
1395982,"currentSavings","1",23
1395982,"location","ddd4f86cd0f978e85155cfa6c9f94e0c",20
1395983,"currentSavings","3",21
1395983,"location","baa871c3119c1d85f9e73b34c6f10dc3",18
